Order ID,Order Date,State,Region,Segment,Category,Sub-Category,Sales,Discount,Profit
ORD-1000,2023-11-28,Florida,West,Consumer,Technology,Phones,380.79,0.2,33.39
ORD-1001,2023-07-19,Ohio,Central,Home Office,Furniture,Chairs,734.67,0.2,-0.25
ORD-1002,2023-06-20,Washington,East,Corporate,Office Supplies,Paper,164.46,0.1,-1.81
ORD-1003,2023-02-27,Washington,West,Home Office,Furniture,Tables,67.5,0.2,4.49
ORD-1004,2023-04-05,Arizona,West,Corporate,Furniture,Tables,605.1,0.0,137.37
ORD-1005,2023-01-04,New York,East,Consumer,Office Supplies,Storage,30.38,0.2,2.81
ORD-1006,2023-08-05,Florida,East,Consumer,Furniture,Tables,834.12,0.0,85.99
ORD-1007,2023-01-24,Texas,East,Corporate,Technology,Accessories,190.01,0.0,18.21
ORD-1008,2023-05-28,Ohio,West,Corporate,Office Supplies,Binders,311.2,0.2,-5.85
ORD-1009,2023-12-20,Arizona,South,Corporate,Furniture,Bookcases,437.63,0.2,-33.78
ORD-1010,2023-08-13,Illinois,West,Consumer,Furniture,Chairs,615.73,0.0,52.26
ORD-1011,2023-03-24,Ohio,South,Consumer,Office Supplies,Storage,299.22,0.0,42.37
ORD-1012,2023-08-24,California,South,Consumer,Furniture,Chairs,461.51,0.0,113.67
ORD-1013,2023-10-21,Texas,West,Corporate,Office Supplies,Binders,207.68,0.0,37.08
ORD-1014,2023-04-07,Ohio,East,Consumer,Office Supplies,Storage,596.49,0.1,-22.9
ORD-1015,2023-10-17,Illinois,West,Home Office,Technology,Phones,611.47,0.0,56.64
ORD-1016,2023-05-04,Texas,East,Home Office,Office Supplies,Paper,74.4,0.2,6.49
ORD-1017,2023-08-04,Arizona,East,Consumer,Technology,Phones,965.98,0.2,50.33
ORD-1018,2023-07-30,Illinois,Central,Consumer,Furniture,Chairs,311.57,0.3,-70.28
ORD-1019,2023-02-12,Arizona,South,Home Office,Office Supplies,Binders,687.39,0.0,110.01
ORD-1020,2023-01-05,California,South,Corporate,Technology,Accessories,130.82,0.0,22.74
ORD-1021,2023-01-01,Arizona,West,Consumer,Technology,Phones,44.04,0.3,-1.0
ORD-1022,2023-11-26,Illinois,South,Corporate,Office Supplies,Storage,266.19,0.0,57.4
ORD-1023,2023-02-26,Texas,East,Consumer,Office Supplies,Paper,318.59,0.0,57.35
ORD-1024,2023-10-30,Washington,West,Home Office,Office Supplies,Storage,551.24,0.2,-57.21
ORD-1025,2023-04-04,New York,Central,Home Office,Furniture,Chairs,969.89,0.3,-54.52
ORD-1026,2023-08-23,Arizona,South,Home Office,Technology,Accessories,940.1,0.1,163.3
ORD-1027,2023-08-04,Illinois,Central,Home Office,Furniture,Chairs,601.92,0.0,168.82
ORD-1028,2023-11-26,Illinois,East,Home Office,Furniture,Tables,97.61,0.0,9.66
ORD-1029,2023-02-10,Illinois,East,Consumer,Office Supplies,Binders,54.78,0.1,1.72
ORD-1030,2023-06-06,Arizona,Central,Corporate,Technology,Copiers,394.79,0.0,46.52
